Right pOg	fma80187
Right-Stellate	0dcba4ba-6b66-4ec5-bbd4-661b9d80b194
Right Stellate	0dcba4ba-6b66-4ec5-bbd4-661b9d80b194
Right-Porg	fma80187
Right Porg	fma80187
Right-Aorg	fma256198
Right Aorg	fma256198
5th-Ventricle	fma61844
5th Ventricle	fma61844
Left-Interior	1ff7cbc8-1f63-433b-9f05-dd583666edf8
Left Interior	1ff7cbc8-1f63-433b-9f05-dd583666edf8
Right-Interior	2d6786bd-a617-458a-a1ff-eb0fadd238a7
Right Interior	2d6786bd-a617-458a-a1ff-eb0fadd238a7
WM-hypointensities	74dd7ee1-93ba-41a2-b82c-7835694297b5
WM hypointensities	74dd7ee1-93ba-41a2-b82c-7835694297b5
Left-WM-hypointensities	d2517b6b-854c-4120-b3a7-bbda62b4ceaf
Left WM hypointensities	d2517b6b-854c-4120-b3a7-bbda62b4ceaf
Right-WM-hypointensities	74726213-8a7f-4ed9-ab51-0023be51ae14
Right WM hypointensities	74726213-8a7f-4ed9-ab51-0023be51ae14
non-WM-hypointensities	bfb99429-a9fd-4e71-9415-57b5b3532dbf
non WM hypointensities	bfb99429-a9fd-4e71-9415-57b5b3532dbf
Left-non-WM-hypointensities	0f49fb19-428e-44f3-84f9-c48bc5711c0c
Left non WM hypointensities	0f49fb19-428e-44f3-84f9-c48bc5711c0c
Right-non-WM-hypointensities	640ad1c1-ff35-4ad8-b01b-0e62f860b6ad
Right non WM hypointensities	640ad1c1-ff35-4ad8-b01b-0e62f860b6ad
Left-F1	fma72654
Left F1	fma72654
Right-F1	fma72653
Right F1	fma72653
Optic-Chiasm	fma62045
Optic Chiasm	fma62045
Corpus_Callosum	fma86464
Corpus_Callosum	fma86464
Left-Amygdala-Anterior	fma72861
Left Amygdala Anterior	fma72861
Right-Amygdala-Anterior	fma72860
Right Amygdala Anterior	fma72860
Dura	fma9592
Dura	fma9592
Epidermis	fma70596
Epidermis	fma70596
Conn-Tissue	8c490b6a-e851-4b87-abe8-41c03a800c20
Conn Tissue	8c490b6a-e851-4b87-abe8-41c03a800c20
SC-Fat-Muscle	96fe627e-162b-4bc7-b2c5-b8e3a1f12ca8
SC Fat Muscle	96fe627e-162b-4bc7-b2c5-b8e3a1f12ca8
Cranium	UBERON_0003128
Cranium	UBERON_0003128
CSF-SA	5e399e3a-ad61-4fd7-bc6f-ddd0a237831f
CSF SA	5e399e3a-ad61-4fd7-bc6f-ddd0a237831f
Muscle	fma30316
Muscle	fma30316
Ear	fma52780
Ear	fma52780
Adipose	fma20110
Adipose	fma20110
Spinal-Cord	fma7647
Spinal Cord	fma7647
Soft-Tissue	181607009
Soft Tissue	181607009
Nerve	fma65132
Nerve	fma65132
Bone	fma30317
Bone	fma30317
Air	15158005
Air	15158005
Orbital-Fat	228b8db6-1796-44db-893d-325269946849
Orbital Fat	228b8db6-1796-44db-893d-325269946849
Tongue	fma54640
Tongue	fma54640
Nasal-Structures	6ca8e469-7a9e-40d8-a495-e12e83385a2b
Nasal Structures	6ca8e469-7a9e-40d8-a495-e12e83385a2b
Globe	5f416c04-1ca5-4ff0-b3cd-1ba21362c695
Globe	5f416c04-1ca5-4ff0-b3cd-1ba21362c695
Teeth	fma314001
Teeth	fma314001
Left-Caudate-Putamen	45be0feb-1944-4950-b8e7-859000dadfef
Left Caudate Putamen	45be0feb-1944-4950-b8e7-859000dadfef
Right-Caudate-Putamen	8a0bac59-767f-4be6-bd17-91c16ad732b5
Right Caudate Putamen	8a0bac59-767f-4be6-bd17-91c16ad732b5
Left-Claustrum	fma72835
Left Claustrum	fma72835
Right-Claustrum	fma72834
Right Claustrum	fma72834
Cornea	fma58238
Cornea	fma58238
Diploe	fma76630
Diploe	fma76630
Vitreous-Humor	d8a05161-f8d4-4c8b-b57b-e7772a18d3ed
Vitreous Humor	d8a05161-f8d4-4c8b-b57b-e7772a18d3ed
Lens	fma58241
Lens	fma58241
Aqueous-Humor	c0567729-c434-4010-b2db-1ae265070402
Aqueous Humor	c0567729-c434-4010-b2db-1ae265070402
Outer-Table	46ce75b9-2cf1-4a36-9bf1-4d6271369ad9
Outer Table	46ce75b9-2cf1-4a36-9bf1-4d6271369ad9
Inner-Table	3e3bc6c2-935b-40e4-933d-d8ba7c5b98c8
Inner Table	3e3bc6c2-935b-40e4-933d-d8ba7c5b98c8
Periosteum	fma24041
Periosteum	fma24041
Endosteum	fma32692
Endosteum	fma32692
R-C-S	8d1b91be-25b1-4e10-820e-7dc23ad26459
R C S	8d1b91be-25b1-4e10-820e-7dc23ad26459
Iris	fma32692
Iris	fma32692
SC-Adipose-Muscle	d9d782f5-bada-4a0a-b935-868699aa99fa
SC Adipose Muscle	d9d782f5-bada-4a0a-b935-868699aa99fa
SC-Tissue	9b270128-7bf9-49b6-b6eb-088b7a7914c9
SC Tissue	9b270128-7bf9-49b6-b6eb-088b7a7914c9
Orbital-Adipose	c4c3282b-74ba-482d-9360-32d52f632477
Orbital Adipose	c4c3282b-74ba-482d-9360-32d52f632477
Left-IntCapsule-Ant	2ea2a2a5-89ee-4381-97c0-662e1ae24fd1
Left IntCapsule Ant	2ea2a2a5-89ee-4381-97c0-662e1ae24fd1
Right-IntCapsule-Ant	118bc080-9001-4dba-b6bc-98b5fc2bd5b5
Right IntCapsule Ant	118bc080-9001-4dba-b6bc-98b5fc2bd5b5
Left-IntCapsule-Pos	a2722cce-fc9b-422a-a946-ffc2c6664322
Left IntCapsule Pos	a2722cce-fc9b-422a-a946-ffc2c6664322
